metric,assoc_2,assoc_4,assoc_8,assoc_16
active_cycles_0,419431180,401530680,6503998,111092780,
busy_cycles_0,419431180,401530680,6503998,111092780,
serving_requests_0,694357560,685278927,11715261,185304745,
average_serving_requests_0,0.287804,0.316481,0.577983,0.280305,
active_cycles_0_0,419431180,401530680,6503998,111092780,
busy_cycles_0_0,462211980,439697080,6818878,122941228,
serving_requests_0_0,694357560,685278927,11715261,185304745,
average_serving_requests_0_0,0.287804,0.316481,0.577983,0.280305,
active_cycles_0_0_0,90381813,87236116,1149849,22023602,
busy_cycles_0_0_0,90381813,87236116,1149849,22023602,
serving_requests_0_0_0,109993120,107926917,1526601,27519621,
average_serving_requests_0_0_0,0.045591,0.049844,0.075316,0.041628,
active_cycles_0_0_1,79101716,76387518,1109956,19856159,
busy_cycles_0_0_1,79101716,76387518,1109956,19856159,
serving_requests_0_0_1,96637190,94765656,1481260,24903111,
average_serving_requests_0_0_1,0.040055,0.043765,0.073079,0.037670,
active_cycles_0_0_2,68068344,65508223,1122182,17611813,
busy_cycles_0_0_2,68068344,65508223,1122182,17611813,
serving_requests_0_0_2,84207840,82452531,1510747,22349753,
average_serving_requests_0_0_2,0.034903,0.038079,0.074534,0.033808,
active_cycles_0_0_3,48081070,47363280,1113412,13989791,
busy_cycles_0_0_3,48081070,47363280,1113412,13989791,
serving_requests_0_0_3,60784797,60858293,1468674,17988711,
average_serving_requests_0_0_3,0.025195,0.028106,0.072458,0.027211,
active_cycles_0_0_4,49709872,49100263,1084466,14267204,
busy_cycles_0_0_4,49709872,49100263,1084466,14267204,
serving_requests_0_0_4,62427772,62706013,1459703,18297428,
average_serving_requests_0_0_4,0.025876,0.028959,0.072016,0.027678,
active_cycles_0_0_5,74005167,72261303,1035877,19954163,
busy_cycles_0_0_5,74005167,72261303,1035877,19954163,
serving_requests_0_0_5,90717353,89936420,1420989,25112509,
average_serving_requests_0_0_5,0.037601,0.041535,0.070106,0.037987,
active_cycles_0_0_6,64932556,63608492,1046525,17316613,
busy_cycles_0_0_6,64932556,63608492,1046525,17316613,
serving_requests_0_0_6,79524620,79056891,1418183,21789423,
average_serving_requests_0_0_6,0.032962,0.036511,0.069967,0.032960,
active_cycles_0_0_7,90037519,86576733,1060992,21791569,
busy_cycles_0_0_7,90037519,86576733,1060992,21791569,
serving_requests_0_0_7,110064868,107576206,1429104,27344189,
average_serving_requests_0_0_7,0.045621,0.049682,0.070506,0.041363,
read_transaction_bytes_0,1144459136,1144046336,22088448,323994880,
write_transaction_bytes_0,703365248,703341376,11820416,200211712,
row_hits_channel_0_core,15226757,15861891,317971,4702846,
row_misses_channel_0_core,906583,858973,21306,218266,
row_conflicts_channel_0_core,12738916,12144569,190549,3269616,
read_row_hits_channel_0_core,9775622,10032427,221939,2991758,
,9775622.0,10032427.0,221939.0,2991758.0,
read_row_misses_channel_0_core,870593,819134,20339,206521,
,870593.0,819134.0,20339.0,206521.0,
read_row_conflicts_channel_0_core,7235959,7024163,102854,1864141,
,7235959.0,7024163.0,102854.0,1864141.0,
write_row_hits_channel_0_core,5451135,5829464,96032,1711088,
,5451135.0,5829464.0,96032.0,1711088.0,
write_row_misses_channel_0_core,35990,39839,967,11745,
,35990.0,39839.0,967.0,11745.0,
write_row_conflicts_channel_0_core,5502957,5120406,87695,1405475,
,5502957.0,5120406.0,87695.0,1405475.0,
read_latency_avg_0,66.185541,68.960090,73.481708,71.646853,
read_latency_sum_0,1184014924,1233514303,25361991,362955291,
req_queue_length_avg_0,1.329222,1.610380,3.340196,1.513943,
req_queue_length_sum_0,3206883485,3486967708,67703148,1000840630,
read_req_queue_length_avg_0,0.490771,0.569694,1.251260,0.549054,
read_req_queue_length_sum_0,1184034223,1233561551,25362055,362969480,
write_req_queue_length_avg_0,0.838451,1.040687,2.088936,0.964890,
write_req_queue_length_sum_0,2022849262,2253406157,42341093,637871150,
record_read_hits,9775622.0,10032427.0,221939.0,2991758.0,
,9775622.0,10032427.0,221939.0,2991758.0,
record_read_misses,870593.0,819134.0,20339.0,206521.0,
,870593.0,819134.0,20339.0,206521.0,
record_read_conflicts,7235959.0,7024163.0,102854.0,1864141.0,
,7235959.0,7024163.0,102854.0,1864141.0,
record_write_hits,5451135.0,5829464.0,96032.0,1711088.0,
,5451135.0,5829464.0,96032.0,1711088.0,
record_write_misses,35990.0,39839.0,967.0,11745.0,
,35990.0,39839.0,967.0,11745.0,
record_write_conflicts,5502957.0,5120406.0,87695.0,1405475.0,
,5502957.0,5120406.0,87695.0,1405475.0,
dram_capacity,2147483648,2147483648,2147483648,2147483648,
dram_cycles,2412601683,2165306962,20269212,661082042,
incoming_requests,28879411,28877074,529841,8194201,
read_requests,17889329,17887365,345147,5065893,
,17889329.0,17887365.0,345147.0,5065893.0,
write_requests,10990082,10989709,184694,3128308,
,10990082.0,10989709.0,184694.0,3128308.0,
ramulator_active_cycles,419431180,401530680,6503998,111092780,
incoming_requests_per_channel,28879411.0,28877074.0,529841.0,8194201.0,
,28879411.0,28877074.0,529841.0,8194201.0,
incoming_read_reqs_per_channel,17889329.0,17887365.0,345147.0,5065893.0,
,17889329.0,17887365.0,345147.0,5065893.0,
physical_page_replacement,0,0,0,0,
maximum_bandwidth,12800000000,12800000000,12800000000,12800000000,
in_queue_req_num_sum,3206883485,3486967708,67703148,1000840630,
in_queue_read_req_num_sum,1184034223,1233561551,25362055,362969480,
in_queue_write_req_num_sum,2022849262,2253406157,42341093,637871150,
in_queue_req_num_avg,1.329222,1.610380,3.340196,1.513943,
in_queue_read_req_num_avg,0.490771,0.569694,1.251260,0.549054,
in_queue_write_req_num_avg,0.838451,1.040687,2.088936,0.964890,
record_read_requests,17889329.0,17887365.0,345147.0,5065893.0,
,17889329.0,17887365.0,345147.0,5065893.0,
record_write_requests,10990082.0,10989709.0,184694.0,3128308.0,
,10990082.0,10989709.0,184694.0,3128308.0,
L3_cache_read_miss,17889329,17887365,345147,5065893,
L3_cache_write_miss,0,0,0,0,
L3_cache_total_miss,17889329,17887365,345147,5065893,
L3_cache_eviction,17856561,17854597,312379,5033125,
L3_cache_read_access,386043178,386093976,3248883,118952588,
L3_cache_write_access,0,0,0,0,
L3_cache_total_access,386043178,386093976,3248883,118952588,
L3_cache_mshr_hit,0,0,0,0,
L3_cache_mshr_unavailable,0,0,0,0,
hit_ratio,95.3659771705641,95.367095548779,89.3764410722085,95.7412502870471,
L3_cache_set_unavailable,0,0,0,0,
cpu_cycles,9650406733,8661227849,81076848,2644328169,
record_cycs_core_0,9650406688,8661227804,81076801,2644328135,
record_insts_core_0,0,0,0,0,
memory_access_cycles_core_0,382894784,379701096,6696276,106218315,
cpu_instructions_core_0,25471020004,25471020004,235404188,7894222112,
L2_cache_read_miss,386043178,386093976,3248883,118952588,
L2_cache_write_miss,0,0,0,0,
L2_cache_total_miss,386043178,386093976,3248883,118952588,
L2_cache_eviction,386025021,386078348,3243223,118945307,
L2_cache_read_access,1031858330,951996540,6658655,262767721,
L2_cache_write_access,0,0,0,0,
L2_cache_total_access,1031858330,951996540,6658655,262767721,
L2_cache_mshr_hit,0,0,0,0,
L2_cache_mshr_unavailable,0,0,0,0,
hit_ratio,62.58757944029,59.4437626842635,51.2081193574378,54.7308978639732,
L2_cache_set_unavailable,0,0,0,0,
L1_cache_read_miss,2713505751,1610377686,11781950,445662963,
L1_cache_write_miss,1179950387,906028840,7673188,248966445,
L1_cache_total_miss,3893456138,2516406526,19455138,694629408,
L1_cache_eviction,1031857818,951936674,6646037,262712705,
L1_cache_read_access,5714367907,4694979885,42385151,1439532468,
L1_cache_write_access,2104680105,1835668307,18421048,567878289,
L1_cache_total_access,7819048012,6530648192,60806199,2007410757,
L1_cache_mshr_hit,1410304797,1401516795,10841331,398006458,
L1_cache_mshr_unavailable,105932768,110701742,1912731,33829052,
hit_ratio,50.89502425176,62.5276503046221,70.2133231481631,66.5177096886394,
L1_cache_set_unavailable,1345360243,52191449,42421,26177,
