metric,assoc_2,assoc_4,assoc_8,assoc_16
active_cycles_0,98776074,111092780,406678899,59073063,
busy_cycles_0,98776074,111092780,406678899,59073063,
serving_requests_0,166960036,185304745,693849492,94917946,
average_serving_requests_0,0.331621,0.280305,0.337547,0.275733,
active_cycles_0_0,98776074,111092780,406678899,59073063,
busy_cycles_0_0,107585802,122941228,442495603,65213607,
serving_requests_0_0,166960036,185304745,693849492,94917946,
average_serving_requests_0_0,0.331621,0.280305,0.337547,0.275733,
active_cycles_0_0_0,20324746,22023602,87934336,12349980,
busy_cycles_0_0_0,20324746,22023602,87934336,12349980,
serving_requests_0_0_0,25338587,27519621,108779956,15255696,
average_serving_requests_0_0_0,0.050328,0.041628,0.052920,0.044317,
active_cycles_0_0_1,18190905,19856159,76713788,10784796,
busy_cycles_0_0_1,18190905,19856159,76713788,10784796,
serving_requests_0_0_1,22752410,24903111,95216663,13397514,
average_serving_requests_0_0_1,0.045192,0.037670,0.046321,0.038919,
active_cycles_0_0_2,15937728,17611813,66731851,9005422,
busy_cycles_0_0_2,15937728,17611813,66731851,9005422,
serving_requests_0_0_2,20206116,22349753,84013502,11338929,
average_serving_requests_0_0_2,0.040134,0.033808,0.040871,0.032939,
active_cycles_0_0_3,12325391,13989791,48836646,6338387,
busy_cycles_0_0_3,12325391,13989791,48836646,6338387,
serving_requests_0_0_3,15847438,17988711,62623450,8046241,
average_serving_requests_0_0_3,0.031477,0.027211,0.030465,0.023374,
active_cycles_0_0_4,12704478,14267204,50677548,6493776,
busy_cycles_0_0_4,12704478,14267204,50677548,6493776,
serving_requests_0_0_4,16277687,18297428,64595919,8298966,
average_serving_requests_0_0_4,0.032331,0.027678,0.031425,0.024108,
active_cycles_0_0_5,17411949,19954163,72647596,10161956,
busy_cycles_0_0_5,17411949,19954163,72647596,10161956,
serving_requests_0_0_5,21871094,25112509,90423494,12694699,
average_serving_requests_0_0_5,0.043441,0.037987,0.043990,0.036878,
active_cycles_0_0_6,15556696,17316613,64034115,8600489,
busy_cycles_0_0_6,15556696,17316613,64034115,8600489,
serving_requests_0_0_6,19529206,21789423,79652060,10715629,
average_serving_requests_0_0_6,0.038789,0.032960,0.038749,0.031129,
active_cycles_0_0_7,20060893,21791569,87372918,12273911,
busy_cycles_0_0_7,20060893,21791569,87372918,12273911,
serving_requests_0_0_7,25137498,27344189,108544448,15170272,
average_serving_requests_0_0_7,0.049929,0.041363,0.052805,0.044069,
read_transaction_bytes_0,291803904,323994880,1152974336,160796416,
write_transaction_bytes_0,180803840,200211712,711740864,105565312,
row_hits_channel_0_core,4240654,4702846,15927670,2295382,
row_misses_channel_0_core,200996,218266,870186,125553,
row_conflicts_channel_0_core,2942846,3269616,12338319,1740967,
