metric,assoc_2,assoc_4,assoc_8,assoc_16
active_cycles_0,93070739,93011146,93012520,92992452
busy_cycles_0,93070739,93011146,93012520,92992452
serving_requests_0,162744812,162692910,162729401,162645101
average_serving_requests_0,0.378528,0.378494,0.378574,0.3784
active_cycles_0_0,93070739,93011146,93012520,92992452
busy_cycles_0_0,100551699,100461258,100483624,100453444
serving_requests_0_0,162744812,162692910,162729401,162645101
average_serving_requests_0_0,0.378528,0.378494,0.378574,0.3784
active_cycles_0_0_0,15336090,15292369,15314422,15299315
busy_cycles_0_0_0,15336090,15292369,15314422,15299315
serving_requests_0_0_0,20290885,20250523,20287806,20259888
average_serving_requests_0_0_0,0.047195,0.047111,0.047198,0.047135
active_cycles_0_0_1,15207563,15209843,15206310,15204558
busy_cycles_0_0_1,15207563,15209843,15206310,15204558
serving_requests_0_0_1,20091135,20097796,20090937,20081010
average_serving_requests_0_0_1,0.04673,0.046756,0.04674,0.046719
active_cycles_0_0_2,15337358,15315751,15322905,15321317
busy_cycles_0_0_2,15337358,15315751,15322905,15321317
serving_requests_0_0_2,20425109,20405585,20423648,20422005
average_serving_requests_0_0_2,0.047507,0.047472,0.047514,0.047513
active_cycles_0_0_3,15173180,15190646,15181340,15178370
busy_cycles_0_0_3,15173180,15190646,15181340,15178370
serving_requests_0_0_3,20277240,20317623,20291977,20282464
average_serving_requests_0_0_3,0.047163,0.047268,0.047207,0.047188
active_cycles_0_0_4,15521149,15496904,15505044,15509518
busy_cycles_0_0_4,15521149,15496904,15505044,15509518
serving_requests_0_0_4,20669546,20651604,20680548,20676397
average_serving_requests_0_0_4,0.048075,0.048044,0.048111,0.048104
active_cycles_0_0_5,15326486,15329994,15318121,15304109
busy_cycles_0_0_5,15326486,15329994,15318121,15304109
serving_requests_0_0_5,20459168,20459729,20427711,20411507
average_serving_requests_0_0_5,0.047586,0.047598,0.047523,0.047488
active_cycles_0_0_6,15322630,15290334,15293157,15292934
busy_cycles_0_0_6,15322630,15290334,15293157,15292934
serving_requests_0_0_6,20357351,20325017,20342153,20333164
average_serving_requests_0_0_6,0.047349,0.047285,0.047324,0.047306
active_cycles_0_0_7,15120574,15132019,15131780,15126527
busy_cycles_0_0_7,15120574,15132019,15131780,15126527
serving_requests_0_0_7,20174378,20185033,20184621,20178666
average_serving_requests_0_0_7,0.046924,0.046959,0.046958,0.046946
read_transaction_bytes_0,323708800,323693504,323688704,323690432
write_transaction_bytes_0,157177280,157169216,157164736,157164800
row_hits_channel_0_core,5006254,5008927,5008492,5009391
row_misses_channel_0_core,224182,223594,223777,223419
row_conflicts_channel_0_core,2283409,2280959,2281066,2280553
read_row_hits_channel_0_core,3576821,3578814,3578102,3578876
,3576821,3578814,3578102,3578876
read_row_misses_channel_0_core,208359,207654,207895,207639
,208359,207654,207895,207639
read_row_conflicts_channel_0_core,1272770,1271243,1271639,1271148
,1272770,1271243,1271639,1271148
write_row_hits_channel_0_core,1429433,1430113,1430390,1430515
,1429433,1430113,1430390,1430515
write_row_misses_channel_0_core,15823,15940,15882,15780
,15823,15940,15882,15780
write_row_conflicts_channel_0_core,1010639,1009716,1009427,1009405
,1010639,1009716,1009427,1009405
read_latency_avg_0,53.234987,53.317469,53.306436,53.262733
read_latency_sum_0,269697120,270102407,270042141,269820694
req_queue_length_avg_0,1.724608,1.72669,1.725935,1.725142
req_queue_length_sum_0,741480506,742205923,741890932,741506531
read_req_queue_length_avg_0,0.627355,0.62844,0.628293,0.627814
read_req_queue_length_sum_0,269725887,270130713,270070711,269849377
write_req_queue_length_avg_0,1.097253,1.09825,1.097643,1.097328
write_req_queue_length_sum_0,471754619,472075210,471820221,471657154
record_read_hits,3576820,3578813,3578101,3578875
,3576820,3578813,3578101,3578875
record_read_misses,208359,207654,207895,207639
,208359,207654,207895,207639
record_read_conflicts,1272770,1271243,1271639,1271148
,1272770,1271243,1271639,1271148
record_write_hits,1429433,1430113,1430390,1430515
,1429433,1430113,1430390,1430515
record_write_misses,15823,15940,15882,15780
,15823,15940,15882,15780
record_write_conflicts,1010639,1009716,1009427,1009405
,1010639,1009716,1009427,1009405
dram_capacity,2147483648,2147483648,2147483648,2147483648
dram_cycles,429941455,429843281,429848610,429823437
incoming_requests,7522058,7521696,7521544,7521544
read_requests,5066163,5065927,5065845,5065844
,5066163,5065927,5065845,5065844
write_requests,2455895,2455769,2455699,2455700
,2455895,2455769,2455699,2455700
ramulator_active_cycles,93070739,93011146,93012520,92992452
incoming_requests_per_channel,7522058,7521696,7521544,7521544
,7522058,7521696,7521544,7521544
incoming_read_reqs_per_channel,5066163,5065927,5065845,5065844
,5066163,5065927,5065845,5065844
physical_page_replacement,0,0,0,0
maximum_bandwidth,12800000000,12800000000,12800000000,12800000000
in_queue_req_num_sum,741480506,742205923,741890932,741506531
