metric,assoc_2,assoc_4,assoc_8,assoc_16
active_cycles_0,54939720,54925959,54912867,,
busy_cycles_0,54939720,54925959,54912867,,
serving_requests_0,86170837,86161098,86143078,,
average_serving_requests_0,0.220899,0.220870,0.220713,,
active_cycles_0_0,54939720,54925959,54912867,,
busy_cycles_0_0,62188360,62178439,62166627,,
serving_requests_0_0,86170837,86161098,86143078,,
average_serving_requests_0_0,0.220899,0.220870,0.220713,,
active_cycles_0_0_0,8991689,8980667,8984330,,
busy_cycles_0_0_0,8991689,8980667,8984330,,
serving_requests_0_0_0,10821860,10806885,10811474,,
average_serving_requests_0_0_0,0.027742,0.027703,0.027701,,
active_cycles_0_0_1,8906037,8908055,8908245,,
busy_cycles_0_0_1,8906037,8908055,8908245,,
serving_requests_0_0_1,10716549,10716765,10717095,,
average_serving_requests_0_0_1,0.027472,0.027472,0.027459,,
active_cycles_0_0_2,8944625,8943989,8934901,,
busy_cycles_0_0_2,8944625,8943989,8934901,,
serving_requests_0_0_2,10764259,10763069,10757584,,
average_serving_requests_0_0_2,0.027594,0.027591,0.027563,,
active_cycles_0_0_3,8851999,8848180,8843501,,
busy_cycles_0_0_3,8851999,8848180,8843501,,
serving_requests_0_0_3,10698854,10697378,10692363,,
average_serving_requests_0_0_3,0.027426,0.027422,0.027396,,
active_cycles_0_0_4,9022069,9029663,9020451,,
busy_cycles_0_0_4,9022069,9029663,9020451,,
serving_requests_0_0_4,10868454,10883102,10864778,,
average_serving_requests_0_0_4,0.027861,0.027898,0.027837,,
active_cycles_0_0_5,8962291,8970516,8964018,,
busy_cycles_0_0_5,8962291,8970516,8964018,,
serving_requests_0_0_5,10842172,10852797,10842604,,
average_serving_requests_0_0_5,0.027794,0.027821,0.027781,,
active_cycles_0_0_6,8858612,8855925,8860837,,
busy_cycles_0_0_6,8858612,8855925,8860837,,
serving_requests_0_0_6,10676655,10672216,10678726,,
average_serving_requests_0_0_6,0.027370,0.027358,0.027361,,
active_cycles_0_0_7,8930391,8921369,8926976,,
busy_cycles_0_0_7,8930391,8921369,8926976,,
serving_requests_0_0_7,10782034,10768886,10778454,,
average_serving_requests_0_0_7,0.027640,0.027606,0.027616,,
read_transaction_bytes_0,163117824,163102080,163087680,,
write_transaction_bytes_0,78828800,78817856,78812672,,
row_hits_channel_0_core,2118745,2118522,2118371,,
row_misses_channel_0_core,147941,147697,147893,,
row_conflicts_channel_0_core,1513730,1513780,1513429,,
read_row_hits_channel_0_core,1612189,1612110,1612023,,
,1612189.0,1612110.0,1612023.0,,
read_row_misses_channel_0_core,134803,134711,134820,,
,134803.0,134711.0,134820.0,,
read_row_conflicts_channel_0_core,801724,801649,801402,,
,801724.0,801649.0,801402.0,,
write_row_hits_channel_0_core,506556,506412,506348,,
,506556.0,506412.0,506348.0,,
write_row_misses_channel_0_core,13138,12986,13073,,
,13138.0,12986.0,13073.0,,
write_row_conflicts_channel_0_core,712006,712131,712027,,
,712006.0,712131.0,712027.0,,
read_latency_avg_0,43.254924,43.277404,43.269828,,
read_latency_sum_0,110323285,110369627,110341133,,
req_queue_length_avg_0,0.824712,0.824991,0.824398,,
req_queue_length_sum_0,321713416,321828266,321757761,,
read_req_queue_length_avg_0,0.282818,0.282932,0.282718,,
read_req_queue_length_sum_0,110325229,110371586,110343111,,
write_req_queue_length_avg_0,0.541893,0.542059,0.541680,,
write_req_queue_length_sum_0,211388187,211456680,211414650,,
record_read_hits,1612188.0,1612109.0,1612022.0,,
,1612188.0,1612109.0,1612022.0,,
record_read_misses,134803.0,134711.0,134820.0,,
,134803.0,134711.0,134820.0,,
record_read_conflicts,801724.0,801649.0,801402.0,,
,801724.0,801649.0,801402.0,,
record_write_hits,506556.0,506412.0,506348.0,,
,506556.0,506412.0,506348.0,,
record_write_misses,13138.0,12986.0,13073.0,,
,13138.0,12986.0,13073.0,,
record_write_conflicts,712006.0,712131.0,712027.0,,
,712006.0,712131.0,712027.0,,
dram_capacity,2147483648,2147483648,2147483648,,
dram_cycles,390092037,390099207,390294416,,
incoming_requests,3782237,3781812,3781519,,
read_requests,2550537,2550283,2550071,,
,2550537.0,2550283.0,2550071.0,,
write_requests,1231700,1231529,1231448,,
,1231700.0,1231529.0,1231448.0,,
ramulator_active_cycles,54939720,54925959,54912867,,
incoming_requests_per_channel,3782237.0,3781812.0,3781519.0,,
,3782237.0,3781812.0,3781519.0,,
incoming_read_reqs_per_channel,2550537.0,2550283.0,2550071.0,,
,2550537.0,2550283.0,2550071.0,,
physical_page_replacement,0,0,0,,
maximum_bandwidth,12800000000,12800000000,12800000000,,
in_queue_req_num_sum,321713416,321828266,321757761,,
in_queue_read_req_num_sum,110325229,110371586,110343111,,
in_queue_write_req_num_sum,211388187,211456680,211414650,,
in_queue_req_num_avg,0.824712,0.824991,0.824398,,
in_queue_read_req_num_avg,0.282818,0.282932,0.282718,,
in_queue_write_req_num_avg,0.541893,0.542059,0.541680,,
record_read_requests,2550536.0,2550282.0,2550070.0,,
,2550536.0,2550282.0,2550070.0,,
record_write_requests,1231700.0,1231529.0,1231448.0,,
,1231700.0,1231529.0,1231448.0,,
L3_cache_read_miss,2550537,2550283,2550071,,
L3_cache_write_miss,0,0,0,,
L3_cache_total_miss,2550537,2550283,2550071,,
L3_cache_eviction,2534153,2533899,2533687,,
L3_cache_read_access,7067032,7071598,7161189,,
L3_cache_write_access,0,0,0,,
L3_cache_total_access,7067032,7071598,7161189,,
L3_cache_mshr_hit,0,0,0,,
L3_cache_mshr_unavailable,0,0,0,,
hit_ratio,63.9093611009544,63.9362559919271,64.3903966226837,,
L3_cache_set_unavailable,0,0,0,,
cpu_cycles,1560368150,1560396830,1561177666,,
record_cycs_core_0,1560368040,1560396720,1561177556,,
record_insts_core_0,0,0,0,,
memory_access_cycles_core_0,51153767,51141893,51131370,,
cpu_instructions_core_0,5502212860,5502212860,5502212860,,
L2_cache_read_miss,7067032,7071598,7161189,,
L2_cache_write_miss,0,0,0,,
L2_cache_total_miss,7067032,7071598,7161189,,
L2_cache_eviction,7051024,7055939,7145750,,
L2_cache_read_access,18311156,15088501,11865439,,
L2_cache_write_access,0,0,0,,
L2_cache_total_access,18311156,15088501,11865439,,
L2_cache_mshr_hit,0,0,0,,
L2_cache_mshr_unavailable,0,0,0,,
hit_ratio,61.4058664564924,53.1325345042559,39.6466578269881,,
L2_cache_set_unavailable,0,0,0,,
L1_cache_read_miss,55546337,48991709,40587315,,
L1_cache_write_miss,72371116,70067366,69504693,,
L1_cache_total_miss,127917453,119059075,110092008,,
L1_cache_eviction,18303070,15074256,11747652,,
L1_cache_read_access,1135100828,1135094095,1135091170,,
L1_cache_write_access,242157304,242145776,242145598,,
L1_cache_total_access,1377258132,1377239871,1377236768,,
L1_cache_mshr_hit,107901380,102283918,96543016,,
L1_cache_mshr_unavailable,1704917,1686656,1683553,,
hit_ratio,90.8245980872503,91.4672571209831,92.1189195868369,,
L1_cache_set_unavailable,0,0,0,,
