metric,assoc_2,assoc_4,assoc_8,assoc_16
active_cycles_0,157255505,157222326,157164699,,
busy_cycles_0,157255505,157222326,157164699,,
serving_requests_0,265823264,265796423,265714657,,
average_serving_requests_0,0.324712,0.324692,0.324302,,
active_cycles_0_0,157255505,157222326,157164699,,
busy_cycles_0_0,171741009,171714998,171651739,,
serving_requests_0_0,265823264,265796423,265714657,,
average_serving_requests_0_0,0.324712,0.324692,0.324302,,
active_cycles_0_0_0,24691873,24697712,24701322,,
busy_cycles_0_0_0,24691873,24697712,24701322,,
serving_requests_0_0_0,32864107,32869871,32865542,,
average_serving_requests_0_0_0,0.040145,0.040153,0.040112,,
active_cycles_0_0_1,25134770,25137670,25097876,,
busy_cycles_0_0_1,25134770,25137670,25097876,,
serving_requests_0_0_1,33198244,33198889,33140414,,
average_serving_requests_0_0_1,0.040553,0.040555,0.040447,,
active_cycles_0_0_2,24680757,24680299,24689878,,
busy_cycles_0_0_2,24680757,24680299,24689878,,
serving_requests_0_0_2,32556034,32565454,32574372,,
average_serving_requests_0_0_2,0.039768,0.039781,0.039757,,
active_cycles_0_0_3,25059195,25051262,25065711,,
busy_cycles_0_0_3,25059195,25051262,25065711,,
serving_requests_0_0_3,33348673,33341596,33349190,,
average_serving_requests_0_0_3,0.040737,0.040729,0.040702,,
active_cycles_0_0_4,24953966,24955613,24958267,,
busy_cycles_0_0_4,24953966,24955613,24958267,,
serving_requests_0_0_4,33003413,33005501,33013705,,
average_serving_requests_0_0_4,0.040315,0.040319,0.040293,,
active_cycles_0_0_5,25185436,25184676,25174827,,
busy_cycles_0_0_5,25185436,25184676,25174827,,
serving_requests_0_0_5,33396562,33389827,33380813,,
average_serving_requests_0_0_5,0.040795,0.040788,0.040741,,
active_cycles_0_0_6,25793479,25759598,25745134,,
busy_cycles_0_0_6,25793479,25759598,25745134,,
serving_requests_0_0_6,34295611,34261874,34233851,,
average_serving_requests_0_0_6,0.041893,0.041854,0.041782,,
active_cycles_0_0_7,24917135,24916360,24908195,,
busy_cycles_0_0_7,24917135,24916360,24908195,,
serving_requests_0_0_7,33160620,33163411,33156770,,
average_serving_requests_0_0_7,0.040507,0.040512,0.040467,,
read_transaction_bytes_0,499672704,499630016,499511168,,
write_transaction_bytes_0,255029760,255001792,254911680,,
row_hits_channel_0_core,7647880,7646837,7646288,,
row_misses_channel_0_core,371459,371990,370897,,
row_conflicts_channel_0_core,3772887,3772295,3770672,,
read_row_hits_channel_0_core,5310571,5310039,5310403,,
,5310571.0,5310039.0,5310403.0,,
read_row_misses_channel_0_core,346831,347275,346229,,
,346831.0,347275.0,346229.0,,
read_row_conflicts_channel_0_core,2149984,2149405,2148230,,
,2149984.0,2149405.0,2148230.0,,
write_row_hits_channel_0_core,2337309,2336798,2335885,,
,2337309.0,2336798.0,2335885.0,,
write_row_misses_channel_0_core,24628,24715,24668,,
,24628.0,24715.0,24668.0,,
write_row_conflicts_channel_0_core,1622903,1622890,1622442,,
,1622903.0,1622890.0,1622442.0,,
read_latency_avg_0,53.092035,53.103526,53.087789,,
read_latency_sum_0,414788054,414840496,414619188,,
req_queue_length_avg_0,1.418805,1.418552,1.417161,,
req_queue_length_sum_0,1161493752,1161243388,1161142466,,
read_req_queue_length_avg_0,0.506701,0.506783,0.506060,,
read_req_queue_length_sum_0,414806733,414858645,414637470,,
write_req_queue_length_avg_0,0.912104,0.911769,0.911101,,
write_req_queue_length_sum_0,746687019,746384743,746504996,,
record_read_hits,5310570.0,5310038.0,5310402.0,,
,5310570.0,5310038.0,5310402.0,,
record_read_misses,346831.0,347275.0,346229.0,,
,346831.0,347275.0,346229.0,,
record_read_conflicts,2149984.0,2149405.0,2148230.0,,
,2149984.0,2149405.0,2148230.0,,
record_write_hits,2337309.0,2336798.0,2335885.0,,
,2337309.0,2336798.0,2335885.0,,
record_write_misses,24628.0,24715.0,24668.0,,
,24628.0,24715.0,24668.0,,
record_write_conflicts,1622903.0,1622890.0,1622442.0,,
,1622903.0,1622890.0,1622442.0,,
dram_capacity,2147483648,2147483648,2147483648,,
dram_cycles,818642052,818611503,819344230,,
incoming_requests,11797463,11796323,11793062,,
read_requests,7812623,7811920,7810067,,
,7812623.0,7811920.0,7810067.0,,
write_requests,3984840,3984403,3982995,,
,3984840.0,3984403.0,3982995.0,,
ramulator_active_cycles,157255505,157222326,157164699,,
incoming_requests_per_channel,11797463.0,11796323.0,11793062.0,,
,11797463.0,11796323.0,11793062.0,,
incoming_read_reqs_per_channel,7812623.0,7811920.0,7810067.0,,
,7812623.0,7811920.0,7810067.0,,
physical_page_replacement,0,0,0,,
maximum_bandwidth,12800000000,12800000000,12800000000,,
in_queue_req_num_sum,1161493752,1161243388,1161142466,,
in_queue_read_req_num_sum,414806733,414858645,414637470,,
in_queue_write_req_num_sum,746687019,746384743,746504996,,
in_queue_req_num_avg,1.418805,1.418552,1.417161,,
in_queue_read_req_num_avg,0.506701,0.506783,0.506060,,
in_queue_write_req_num_avg,0.912104,0.911769,0.911101,,
record_read_requests,7812622.0,7811919.0,7810066.0,,
,7812622.0,7811919.0,7810066.0,,
record_write_requests,3984840.0,3984403.0,3982995.0,,
,3984840.0,3984403.0,3982995.0,,
L3_cache_read_miss,7812623,7811920,7810067,,
L3_cache_write_miss,0,0,0,,
L3_cache_total_miss,7812623,7811920,7810067,,
L3_cache_eviction,7779855,7779152,7777299,,
L3_cache_read_access,24698233,24711574,25099756,,
L3_cache_write_access,0,0,0,,
L3_cache_total_access,24698233,24711574,25099756,,
L3_cache_mshr_hit,0,0,0,,
L3_cache_mshr_unavailable,0,0,0,,
hit_ratio,68.3676844412311,68.3876065522981,68.8838927358497,,
L3_cache_set_unavailable,0,0,0,,
cpu_cycles,3274568210,3274446014,3277376922,,
record_cycs_core_0,3274568103,3274445907,3277376815,,
record_insts_core_0,0,0,0,,
memory_access_cycles_core_0,148936304,148914799,148849543,,
cpu_instructions_core_0,10757526980,10757526980,10757526980,,
L2_cache_read_miss,24698233,24711574,25099756,,
L2_cache_write_miss,0,0,0,,
L2_cache_total_miss,24698233,24711574,25099756,,
L2_cache_eviction,24638562,24652686,25042725,,
L2_cache_read_access,63586331,54107344,43099320,,
L2_cache_write_access,0,0,0,,
L2_cache_total_access,63586331,54107344,43099320,,
L2_cache_mshr_hit,0,0,0,,
L2_cache_mshr_unavailable,0,0,0,,
hit_ratio,61.157952327836,54.3286138754103,41.7629883719743,,
L2_cache_set_unavailable,0,0,0,,
L1_cache_read_miss,185147500,164877876,135483884,,
L1_cache_write_miss,189501762,185547258,184198078,,
L1_cache_total_miss,374649262,350425134,319681962,,
L1_cache_eviction,63564016,54065592,42621138,,
L1_cache_read_access,2236858409,2236758727,2236748550,,
L1_cache_write_access,467980759,468010077,468009120,,
L1_cache_total_access,2704839168,2704768804,2704757670,,
L1_cache_mshr_hit,295605508,280930731,261206717,,
L1_cache_mshr_unavailable,15457423,15387059,15375925,,
